,Make,Model,Averaged_Price
0,Ford,Lo,158703.34
1,Ford,Gi,324235.67
2,Ford,Cheap,6533.7
56,Volkswagen,Touareg,865138.875
1,Chrysler,Town & Country,712000.0
12,Ford,Transit,681500.0
55,Volkswagen,Tiguan Allspace,677500.0
18,Honda,HR-V,672313.4615384615
43,Volkswagen,Golf Variant,658158.3333333334
10,Ford,Mustang,634225.0
34,Volkswagen,Amarok,602817.0554821665
42,Volkswagen,Golf,585167.7572254335
11,Ford,Ranger,573373.8510242086
49,Volkswagen,Scirocco,571295.92
9,Ford,Mondeo,553970.3703703703
60,Volkswagen,Virtus,523000.0
53,Volkswagen,The Beetle,514520.2272727273
54,Volkswagen,Tiguan,504233.8028169014
14,Honda,CR-V,490798.0099009901
36,Volkswagen,CC,484519.44444444444
50,Volkswagen,Sharan,447142.85714285716
45,Volkswagen,Passat,436902.40506329114
6,Ford,Focus III,427962.0252454418
8,Ford,Kuga,415436.8289473684
58,Volkswagen,Vento,386232.99640933576
52,Volkswagen,Suran Cross,365633.8
16,Honda,Civic,363048.5111111111
46,Volkswagen,Passat Variant,358750.0
47,Volkswagen,Polo,355033.9016393443
2,Ford,Ecosport,328723.64625131997
13,Honda,Accord,305000.0
44,Volkswagen,New Beetle,299999.0
48,Volkswagen,Saveiro,297179.2614107884
59,Volkswagen,Vento Variant,296338.26086956525
4,Ford,Fiesta Kinetic Design,295997.2581369248
17,Honda,Fit,288474.03100775194
57,Volkswagen,Up!,286360.1525423729
15,Honda,City,268365.22222222225
35,Volkswagen,Bora,263076.0132978723
37,Volkswagen,Crossfox,257725.48387096773
51,Volkswagen,Suran,249378.40064102566
5,Ford,Focus II,247204.47733333334
38,Volkswagen,Fox,238207.12596401028
61,Volkswagen,Voyage,218351.6344537815
41,Volkswagen,Gol Trend,214633.0217948718
0,Chrysler,PT Cruiser,194268.75
3,Ford,Fiesta,188482.08955223882
40,Volkswagen,Gol Country,166795.0
7,Ford,Ka,158703.5759312321
39,Volkswagen,Gol,150301.6430379747
