PassengerId,Hometown,Destination,Lifeboat,Body
1,"Bridgerule, Devon, England","Qu'Appelle Valley, Saskatchewan, Canada",,
2,"New York, New York, US","New York, New York, US",4,
3,"Jyväskylä, Finland",New York City,14?,
4,"Scituate, Massachusetts, US","Scituate, Massachusetts, US",D,
5,"Birmingham, West Midlands, England",New York City,,
6,"Cork, Ireland",New York City,,
7,"Dorchester, Massachusetts, US","Dorchester, Massachusetts, US",,175MB
8,"Bjuv, Skåne, Sweden","Chicago, Illinois, US",,
9,"St. Charles, Illinois, US","St. Charles, Illinois, US",15,
10,"Zahlé, Lebanon, Ottoman Empire","Cleveland, Ohio, US",?,
11,"Motala, Östergötland, Sweden","San Francisco, US",13,
12,"Youngstown, Ohio, US","Youngstown, Ohio, US",8,
13,"St Austell, Cornwall, England",New York City,,
14,"Kisa, Östergötland, Sweden","Winnipeg, Manitoba, Canada",,
15,"Salmunds, Gotland, Sweden","Los Angeles, US",,
16,"Lucknow, British India, UK[note 3]","Rapid City, South Dakota, US",13,
17,"Athlone, Westmeath, Ireland","Spokane, Washington, US",,
18,"Harrow, London, England","Chicago, Illinois, US",14,
19,"Pittem, Belgium","Fremont, Ohio, US",,
20,"Tebnine, Lebanon","Michigan City, Indiana, US",C,
21,"Liverpool, Merseyside, England, UK","Montreal, Quebec, Canada",,322M
22,"London, England, UK","Toronto, Ontario, Canada",13,
23,"Massbrook, Mayo, Ireland","Chicago, Illinois, US",13,
24,"New Britain, Connecticut, US","New Britain, Connecticut, US",7,
25,"Bjuv, Skåne, Sweden","Chicago, Illinois, US",,
26,"Alseda, Småland, Sweden","Worcester, Massachusetts, US",15,
27,"Hadath, Lebanon",New York City,,
28,"Winnipeg, Manitoba, Canada","Winnipeg, Manitoba, Canada",,
29,"Limerick, Limerick, Ireland",New York City,?,
30,"Unknown, Bulgaria","Chicago, Illinois, US",,
31,"Mexico City, Mexico","Mexico City, Mexico",,
32,"New York, New York, US","New York, New York, US",6,
33,"Killaloe, Clare, Ireland","Washington, DC, US",13,
34,"Guernsey, Channel Islands","Edgewood, Rhode Island, US",,
